code_2008,libelle_2008,code_2025,libelle_2025,type_correspondance,type_officiel,contenu_commun,source_url,source_reference
72.19Z,Recherche-développement en autres sciences physiques et naturelles,72.10H,Recherche et développement en autres sciences physiques et naturelles,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
72.20Z,Recherche-développement en sciences humaines et sociales,72.20Y,Recherche et développement en sciences humaines et sociales,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
73.11Z,Activités des agences de publicité,73.11Y,Activités d’agence de publicité,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
73.12Z,Régie publicitaire de médias,73.12Y,Régie publicitaire de médias,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
73.20Z,Études de marché et sondages,73.20Y,Études de marché et sondages,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.10Z,Activités spécialisées de design,71.11Y,Activités d’architecture,n↔n,Multiple,- les activités des architectes d'intérieurs,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.10Z,Activités spécialisées de design,74.11Y,Activités de design pour la création de mode ou les produits industriels,1→n,Multiple,"- le design de mode lié aux textiles, aux vêtements, aux chaussures, aux bijoux, aux meubles et autres articles de décoration intérieure et autres articles de mode, ainsi qu'à d'autres articles personnels ou ménagers - le design industriel, réalisé également à l'aide de logiciels spécialisés, c'est-à-dire la création et le développement de conceptions et de spécifications qui optimisent l'utilisation, la valeur, l'emballage et l'apparence des produits, y compris la détermination des matériaux, du mécanisme, de la forme, de la couleur et des finitions de surface du produit, en tenant compte des caractéristiques et des besoins humains, de la sécurité, de l'attrait commercial lors de la distribution, de l'utilisation et de l'entretien",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.10Z,Activités spécialisées de design,74.12Y,Activités de design graphique et de communication visuelle,1→n,Multiple,"- les activités des graphistes - la conception graphique de pages web - les activités des concepteurs en communication - les activités spécialisées dans la conception de messages et d'informations, en tenant compte des caractéristiques et des besoins des personnes, des objectifs de l'entreprise, de l'attrait du marché et des moyens de diffusion - la conception et conseil en matière de contenu et d'aspect extérieur des campagnes et des contenus de communication, conception et conception d'images visuelles (corporate design) et de supports de communication d'entreprise, conception et mise à jour de marques, détermination du langage visuel, de la forme, de la couleur, de la typographie des publications, illustration didactique de contextes complexes et abstraits",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.10Z,Activités spécialisées de design,74.13Y,Activités de design d’intérieur,1→n,Multiple,"- les activités des décorateurs d'intérieur - les services de décoration d'intérieur tels que la planification et la conception d'espaces intérieurs pour répondre aux besoins esthétiques et fonctionnels des personnes, en se concentrant principalement sur les finitions, le mobilier et les palettes de couleurs - l'élaboration de projets de décoration d'intérieur (à l’exception des activités des architectes d'intérieurs)",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.10Z,Activités spécialisées de design,74.14Y,Autres activités spécialisées de design,1→n,Multiple,- les autres activités de conception spécialisées,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.20Z,Activités photographiques,18.12Y,Autres activités d’imprimerie,n↔n,Multiple,"- les activités d'impression de photographies (à partir de téléphones portables, de cartes mémoire, de supports USB et d'autres supports électroniques)",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.20Z,Activités photographiques,74.20Y,Activités photographiques,1→n,Multiple,"- la photographie commerciale et grand public : • photographie de portrait pour les passeports, les écoles, les mariages, etc. • photographie à des fins commerciales, d'édition, de mode, d'immobilier ou de tourisme • photographie aérienne et sous-marine • enregistrement vidéo d'événements : mariages, réunions, etc. - le développement de films : • développement, impression et agrandissement à partir de négatifs ou de films cinématographiques réalisés par le client • laboratoires de développement de films et de tirage de photos • magasins de photos d'une heure (qui ne font pas partie des magasins d'appareils photo) • montage de diapositives • copie et restauration ou retouche de transparents en rapport avec des photographies - les activités des photojournalistes - les activités de photographies artistiques - le microfilmage de documents - la numérisation de photos, conversion de vidéos en nuage - la numérisation d'objets en 3D",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.30Z,Traduction et interprétation,74.30Y,Activités de traduction et d’interprétation,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.90A,Activité des économistes de la construction,71.12Y,Activités d’ingénierie et de conseil technique connexe,n↔n,Multiple,"- ordonnancement, planification et coordination de chantiers",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.90A,Activité des économistes de la construction,74.99Y,"Toutes les autres activités spécialisées, scientifiques et techniques n.c.a.",n↔n,Multiple,"À l’exception de l’ordonnancement, la planification et la coordination de chantiers, le contenu de la sous-classe NAF rév. 2 est entièrement couvert par la sous-classe NAF 2025 en correspondance",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
74.90B,"Activités spécialisées, scientifiques et techniques diverses",74.91Y,Activités de courtage et de marketing de brevets,1→n,Multiple,"- les activités de courtage et de commercialisation de brevets - les services de gestion des droits de propriété industrielle (brevets, licences, marques, franchises, etc.) - les activités des organismes de gestion collective des droits - la gestion des droits de propriété intellectuelle, par exemple les droits d'auteur, et de leurs revenus",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
